country_1,country_2,country_3,country_4,emissions,cost
BN,,,,4.5,0.3
BN,,,,4.0,0.3
BN,,,,3.4,0.3
BN,,,,3.3,0.3
BN,,,,2.6,0.3
BN,,,,2.2,0.3
BN,,,,2.0,0.4
BN,,,,1.3,0.4
BN,,,,1.1,0.4
BN,,,,0.7,0.5
BN,,,,0.0,0.7
BN,TH,,,70.4,15.6
BN,TH,,,61.6,15.6
BN,TH,,,56.9,15.7
BN,TH,,,52.8,15.8
BN,TH,,,44.0,16.0
BN,TH,,,35.2,16.4
BN,TH,,,28.5,16.9
BN,TH,,,26.4,17.1
BN,TH,,,17.6,18.3
BN,TH,,,8.8,20.2
BN,TH,,,0.0,25.5
BR,,,,79.9,42.7
BR,,,,69.9,42.7
BR,,,,59.9,43.0
BR,,,,54.9,43.1
BR,,,,49.9,43.4
BR,,,,39.9,44.1
BR,,,,30.0,45.1
BR,,,,27.4,45.4
BR,,,,20.0,46.2
BR,,,,10.0,48.2
BR,,,,0.0,58.6
BR,CL,,,82.4,45.4
BR,CL,,,72.1,45.5
BR,CL,,,66.7,45.6
BR,CL,,,61.8,45.7
BR,CL,,,51.5,46.2
BR,CL,,,41.2,46.9
BR,CL,,,33.4,47.7
BR,CL,,,30.9,47.9
BR,CL,,,20.6,49.1
BR,CL,,,10.3,51.2
BR,CL,,,0.0,61.7
BR,CO,,,95.3,49.6
BR,CO,,,83.4,49.7
BR,CO,,,71.5,50.0
BR,CO,,,65.2,50.3
BR,CO,,,59.6,50.6
BR,CO,,,47.7,51.5
BR,CO,,,35.7,52.7
BR,CO,,,32.6,53.0
BR,CO,,,23.8,54.1
BR,CO,,,11.9,56.8
BR,CO,,,0.0,68.8
BR,CO,CL,,97.8,52.4
BR,CO,CL,,85.6,52.5
BR,CO,CL,,77.1,52.6
BR,CO,CL,,73.4,52.8
BR,CO,CL,,61.1,53.3
BR,CO,CL,,48.9,54.2
BR,CO,CL,,38.5,55.3
BR,CO,CL,,36.7,55.5
BR,CO,CL,,24.5,56.9
BR,CO,CL,,12.2,59.7
BR,CO,CL,,0.0,71.9
BR,CO,PE,,104.9,54.3
BR,CO,PE,,91.8,54.4
BR,CO,PE,,78.7,54.7
BR,CO,PE,,72.3,55.0
BR,CO,PE,,65.6,55.4
BR,CO,PE,,52.4,56.3
BR,CO,PE,,39.3,57.7
BR,CO,PE,,36.1,58.0
BR,CO,PE,,26.2,59.2
BR,CO,PE,,13.1,62.4
BR,CO,PE,,0.0,75.0
BR,CO,PE,CL,107.4,57.0
BR,CO,PE,CL,94.0,57.1
BR,CO,PE,CL,84.2,57.4
BR,CO,PE,CL,80.5,57.5
BR,CO,PE,CL,67.1,58.1
BR,CO,PE,CL,53.7,59.1
BR,CO,PE,CL,42.1,60.3
BR,CO,PE,CL,40.3,60.5
BR,CO,PE,CL,26.9,62.1
BR,CO,PE,CL,13.4,65.3
BR,CO,PE,CL,0.0,77.9
BR,PE,,,89.5,47.4
BR,PE,,,78.3,47.4
BR,PE,,,67.1,47.7
BR,PE,,,62.0,47.8
BR,PE,,,55.9,48.2
BR,PE,,,44.7,49.0
BR,PE,,,33.6,50.1
BR,PE,,,31.0,50.4
BR,PE,,,22.4,51.4
BR,PE,,,11.2,53.7
BR,PE,,,0.0,64.8
BR,PE,CL,,92.0,50.1
BR,PE,CL,,80.5,50.1
BR,PE,CL,,73.8,50.3
BR,PE,CL,,69.0,50.4
BR,PE,CL,,57.5,50.9
BR,PE,CL,,46.0,51.8
BR,PE,CL,,36.9,52.6
BR,PE,CL,,34.5,52.9
BR,PE,CL,,23.0,54.2
BR,PE,CL,,11.5,56.8
BR,PE,CL,,0.0,67.7
CL,,,,2.5,2.8
CL,,,,2.5,2.8
CL,,,,2.2,2.8
CL,,,,1.9,2.8
CL,,,,1.7,2.8
CL,,,,1.4,2.8
CL,,,,1.1,2.8
CL,,,,0.8,2.9
CL,,,,0.6,2.9
CL,,,,0.3,3.0
CL,,,,0.0,3.1
CO,,,,15.4,7.0
CO,,,,13.5,7.0
CO,,,,11.6,7.1
CO,,,,10.3,7.2
CO,,,,9.6,7.2
CO,,,,7.7,7.4
CO,,,,5.8,7.6
CO,,,,5.2,7.7
CO,,,,3.9,8.0
CO,,,,1.9,8.6
CO,,,,0.0,10.3
CO,CL,,,17.9,9.8
CO,CL,,,15.9,9.8
CO,CL,,,13.9,9.8
CO,CL,,,11.9,9.9
CO,CL,,,11.1,10.0
CO,CL,,,10.0,10.1
CO,CL,,,8.0,10.3
CO,CL,,,6.0,10.6
CO,CL,,,4.0,11.0
CO,CL,,,2.0,11.7
CO,CL,,,0.0,13.4
CO,PE,,,25.0,11.7
CO,PE,,,21.9,11.7
CO,PE,,,18.7,11.8
CO,PE,,,17.4,11.9
CO,PE,,,15.6,12.0
CO,PE,,,12.5,12.2
CO,PE,,,9.4,12.6
CO,PE,,,8.7,12.7
CO,PE,,,6.2,13.2
CO,PE,,,3.1,14.2
CO,PE,,,0.0,16.5
CO,PE,CL,,27.5,14.4
CO,PE,CL,,24.4,14.5
CO,PE,CL,,21.4,14.5
CO,PE,CL,,18.3,14.7
CO,PE,CL,,15.3,14.9
CO,PE,CL,,14.7,15.0
CO,PE,CL,,12.2,15.2
CO,PE,CL,,9.2,15.7
CO,PE,CL,,6.1,16.3
CO,PE,CL,,3.1,17.3
CO,PE,CL,,0.0,19.6
EG,,,,23.8,13.2
EG,,,,23.8,13.2
EG,,,,21.1,13.2
EG,,,,18.5,13.2
EG,,,,15.9,13.4
EG,,,,13.2,13.5
EG,,,,10.6,13.8
EG,,,,7.9,14.2
EG,,,,5.3,14.9
EG,,,,2.6,15.8
EG,,,,0.0,17.1
EG,KE,,,28.3,18.2
EG,KE,,,26.9,18.2
EG,KE,,,25.2,18.2
EG,KE,,,22.0,18.3
EG,KE,,,18.9,18.5
EG,KE,,,15.7,18.7
EG,KE,,,12.6,19.1
EG,KE,,,9.4,19.6
EG,KE,,,6.3,20.3
EG,KE,,,3.2,21.4
EG,KE,,,0.0,23.0
EG,MA,,,34.1,18.9
EG,MA,,,33.8,18.9
EG,MA,,,30.3,18.9
EG,MA,,,26.5,19.0
EG,MA,,,22.7,19.1
EG,MA,,,19.0,19.3
EG,MA,,,15.2,19.6
EG,MA,,,11.4,20.1
EG,MA,,,7.8,20.7
EG,MA,,,3.9,22.0
EG,MA,,,0.0,23.6
EG,MA,KE,,38.6,21.6
EG,MA,KE,,35.0,21.6
EG,MA,KE,,34.4,21.6
EG,MA,KE,,30.1,21.7
EG,MA,KE,,25.8,21.8
EG,MA,KE,,21.5,22.1
EG,MA,KE,,17.2,22.5
EG,MA,KE,,12.9,23.2
EG,MA,KE,,8.8,23.8
EG,MA,KE,,4.6,25.1
EG,MA,KE,,0.0,27.4
EG,NG,,,94.8,37.4
EG,NG,,,84.4,37.5
EG,NG,,,73.8,37.7
EG,NG,,,63.3,38.1
EG,NG,,,54.5,38.7
EG,NG,,,52.7,38.9
EG,NG,,,42.2,40.1
EG,NG,,,31.6,42.0
EG,NG,,,21.1,44.7
EG,NG,,,10.5,49.0
EG,NG,,,0.0,59.0
EG,NG,KE,,97.7,38.2
EG,NG,KE,,88.4,38.2
EG,NG,KE,,77.4,38.4
EG,NG,KE,,66.3,38.9
EG,NG,KE,,55.8,39.4
EG,NG,KE,,55.3,39.5
EG,NG,KE,,44.2,40.4
EG,NG,KE,,33.2,41.9
EG,NG,KE,,22.1,44.2
EG,NG,KE,,11.1,47.9
EG,NG,KE,,0.0,53.4
EG,NG,MA,,105.2,43.1
EG,NG,MA,,93.6,43.1
EG,NG,MA,,81.9,43.4
EG,NG,MA,,70.2,43.9
EG,NG,MA,,62.7,44.3
EG,NG,MA,,58.5,44.6
EG,NG,MA,,46.8,45.8
EG,NG,MA,,35.1,47.8
EG,NG,MA,,23.6,50.4
EG,NG,MA,,12.0,54.6
EG,NG,MA,,0.2,62.1
ID,,,,198.3,40.2
ID,,,,173.5,40.3
ID,,,,155.0,40.6
ID,,,,148.7,40.7
ID,,,,123.9,41.5
ID,,,,99.1,42.6
ID,,,,77.6,44.1
ID,,,,74.4,44.4
ID,,,,49.6,47.4
ID,,,,24.8,52.9
ID,,,,0.0,70.0
ID,BN,,,202.7,40.5
ID,BN,,,177.4,40.6
ID,BN,,,156.4,40.9
ID,BN,,,152.1,41.0
ID,BN,,,126.7,41.8
ID,BN,,,101.4,42.9
ID,BN,,,78.2,44.6
ID,BN,,,76.0,44.7
ID,BN,,,50.7,47.8
ID,BN,,,25.3,53.3
ID,BN,,,0.0,70.7
ID,BN,TH,,267.8,55.7
ID,BN,TH,,235.1,55.8
ID,BN,TH,,212.1,56.2
ID,BN,TH,,201.5,56.4
ID,BN,TH,,167.9,57.5
ID,BN,TH,,134.3,59.0
ID,BN,TH,,106.0,61.0
ID,BN,TH,,100.8,61.4
ID,BN,TH,,67.2,65.6
ID,BN,TH,,33.6,72.7
ID,BN,TH,,0.0,94.7
ID,MY,,,293.8,49.5
ID,MY,,,289.7,49.5
ID,MY,,,251.9,49.6
ID,MY,,,209.9,50.1
ID,MY,,,193.1,50.4
ID,MY,,,167.9,51.1
ID,MY,,,125.9,52.9
ID,MY,,,96.5,55.0
ID,MY,,,84.0,56.1
ID,MY,,,42.0,62.1
ID,MY,,,0.0,85.2
ID,MY,PH,,346.7,114.2
ID,MY,PH,,297.0,57.2
ID,MY,PH,,247.5,57.9
ID,MY,PH,,230.3,58.2
ID,MY,PH,,198.0,59.2
ID,MY,PH,,148.5,61.4
ID,MY,PH,,115.1,63.9
ID,MY,PH,,99.0,65.5
ID,MY,PH,,49.5,72.9
ID,MY,PH,,0.0,99.3
ID,PH,,,251.0,47.8
ID,PH,,,219.6,47.9
ID,PH,,,192.3,48.3
ID,PH,,,188.3,48.4
ID,PH,,,156.9,49.4
ID,PH,,,125.5,50.9
ID,PH,,,96.1,53.1
ID,PH,,,94.1,53.3
ID,PH,,,62.8,57.1
ID,PH,,,31.4,63.6
ID,PH,,,0.0,84.1
KE,,,,4.5,2.7
KE,,,,3.9,2.7
KE,,,,3.8,2.7
KE,,,,3.2,2.8
KE,,,,2.6,2.9
KE,,,,2.5,2.9
KE,,,,1.9,3.0
KE,,,,1.3,3.1
KE,,,,1.3,3.1
KE,,,,0.6,3.4
KE,,,,0.0,4.7
KE,KR,EG,PE,150.0,44.0
KE,KR,EG,PE,131.2,44.1
KE,KR,EG,PE,124.2,44.3
KE,KR,EG,PE,112.5,44.6
KE,KR,EG,PE,93.7,45.6
KE,KR,EG,PE,75.0,47.2
KE,KR,EG,PE,62.1,49.0
KE,KR,EG,PE,56.2,49.9
KE,KR,EG,PE,37.5,52.8
KE,KR,EG,PE,18.9,56.9
KE,KR,EG,PE,1.1,86.7
KE,ZA,EG,NG,133.3,55.9
KE,ZA,EG,NG,118.5,55.9
KE,ZA,EG,NG,103.7,56.2
KE,ZA,EG,NG,88.9,56.6
KE,ZA,EG,NG,81.3,57.0
KE,ZA,EG,NG,74.1,57.4
KE,ZA,EG,NG,59.3,58.9
KE,ZA,EG,NG,44.6,60.8
KE,ZA,EG,NG,30.0,63.9
KE,ZA,EG,NG,15.5,68.8
KE,ZA,EG,NG,0.2,77.1
KH,,,,9.0,2.0
KH,,,,7.7,2.0
KH,,,,7.4,2.0
KH,,,,6.4,2.0
KH,,,,5.1,2.1
KH,,,,5.0,2.1
KH,,,,3.8,2.3
KH,,,,2.6,2.6
KH,,,,2.5,2.6
KH,,,,1.3,3.0
KH,,,,0.0,3.8
KH,TH,,,74.9,17.3
KH,TH,,,65.5,17.3
KH,TH,,,60.6,17.4
KH,TH,,,56.1,17.5
KH,TH,,,46.8,17.8
KH,TH,,,37.4,18.3
KH,TH,,,30.3,18.8
KH,TH,,,28.1,19.0
KH,TH,,,18.7,20.5
KH,TH,,,9.4,22.7
KH,TH,,,0.0,28.6
KH,TH,LA,,76.9,17.6
KH,TH,LA,,67.3,17.7
KH,TH,LA,,61.9,17.8
KH,TH,LA,,57.7,17.9
KH,TH,LA,,48.0,18.1
KH,TH,LA,,38.4,18.6
KH,TH,LA,,30.9,19.2
KH,TH,LA,,28.8,19.4
KH,TH,LA,,19.2,20.9
KH,TH,LA,,9.6,23.2
KH,TH,LA,,0.0,29.2
KH,TH,VN,,158.6,31.0
KH,TH,VN,,138.8,31.1
KH,TH,VN,,131.1,31.2
KH,TH,VN,,118.9,31.4
KH,TH,VN,,99.1,32.0
KH,TH,VN,,79.3,33.0
KH,TH,VN,,65.5,34.0
