country_1,country_2,country_3,country_4,emissions,cost
ID,,,,352.5,51.6
ID,,,,324.7,52.0
ID,,,,288.7,52.6
ID,,,,252.6,53.2
ID,,,,216.5,53.8
ID,,,,180.4,54.6
ID,,,,144.3,56.0
ID,,,,108.2,58.7
ID,,,,72.2,63.0
ID,,,,36.1,70.2
ID,,,,0.0,88.2
ID,MY,,,419.4,60.1
ID,MY,,,384.8,60.6
ID,MY,,,342.1,61.3
ID,MY,,,299.3,62.0
ID,MY,,,256.6,62.8
ID,MY,,,213.8,64.0
ID,MY,,,171.0,66.2
ID,MY,,,128.3,69.7
ID,MY,,,85.5,74.7
ID,MY,,,42.8,82.5
ID,MY,,,0.0,97.1
ID,MY,PH,,481.1,68.1
ID,MY,PH,,441.4,68.5
ID,MY,PH,,392.4,69.3
ID,MY,PH,,343.3,70.1
ID,MY,PH,,294.3,71.0
ID,MY,PH,,245.2,72.3
ID,MY,PH,,196.2,74.3
ID,MY,PH,,147.1,77.8
ID,MY,PH,,98.1,83.0
ID,MY,PH,,49.0,90.7
ID,MY,PH,,0.0,104.4
ID,PH,,,414.2,59.6
ID,PH,,,381.3,60.0
ID,PH,,,338.9,60.6
ID,PH,,,296.6,61.3
ID,PH,,,254.2,62.0
ID,PH,,,211.8,62.9
ID,PH,,,169.5,64.3
ID,PH,,,127.1,66.9
ID,PH,,,84.7,71.3
ID,PH,,,42.4,78.0
ID,PH,,,0.0,91.4
KH,,,,19.3,3.4
KH,,,,17.7,3.4
KH,,,,15.7,3.4
KH,,,,13.8,3.5
KH,,,,11.8,3.5
KH,,,,9.8,3.5
KH,,,,7.9,3.6
KH,,,,5.9,3.7
KH,,,,3.9,4.0
KH,,,,2.0,4.4
KH,,,,0.0,5.2
LA,,,,2.7,0.3
LA,,,,2.4,0.3
LA,,,,2.1,0.3
LA,,,,1.9,0.3
LA,,,,1.6,0.3
LA,,,,1.3,0.3
LA,,,,1.1,0.4
LA,,,,0.8,0.4
LA,,,,0.5,0.4
LA,,,,0.3,0.5
LA,,,,0.0,0.6
MY,,,,66.7,8.5
MY,,,,60.1,8.6
MY,,,,53.4,8.8
MY,,,,46.8,9.1
MY,,,,40.1,9.6
MY,,,,33.4,10.1
