country_1,country_2,country_3,country_4,Mitigation_Potential(MtCO2e),Mitigation_Cost($/tCO2e),Mitigation_Potential_at_0($/tCO2e),Mitigation_Potential_at_10($/tCO2e),Mitigation_Potential_at_20($/tCO2e),Mitigation_Potential_at_50($/tCO2e),Mitigation_Potential_at_Average_0($/tCO2e),Mitigation_Potential_at_Average_10($/tCO2e),Mitigation_Potential_at_Average_20($/tCO2e),Mitigation_Potential_at_Average_50($/tCO2e),BAU_Emissions(MtCO2e)
BN,,,,6.599188983150174,56.24305689070672,2.1184706153944264,2.6397558278872144,3.299695987614153,5.279497792696499,3.9596313099114835,5.279497792696499,5.476219920759307,5.939452436918277,6.599394550616853
BN,TH,,,278.247703328069,17.086860187544776,207.87749741441473,216.67353021803638,225.46983947926236,243.0624606392714,269.45139266698794,269.45139266698794,278.247703328069,278.247703328069,278.247703328069
BR,,,,274.2867626354557,-33.298288345220215,194.3930463180527,204.37987749797676,204.37987749797676,219.4300872464746,274.2867626354557,274.2867626354557,274.2867626354557,274.2867626354557,274.28762639419097
BR,CL,,,333.7286629442699,-40.624362001053676,251.33590705554744,261.6351951453239,266.98309225145044,282.2337632222766,333.7286629442699,333.7286629442699,333.7286629442699,333.7286629442699,333.72976041707443
BR,CO,,,325.95113566314154,-26.524311752334985,230.6339991067794,242.54903645463997,242.54903645463997,260.7629021231019,325.95113566314154,325.95113566314154,325.95113566314154,325.95113566314154,325.95381996171005
BR,CO,CL,,385.3923238157884,-33.88484910030442,287.57701768748245,299.8043339283643,299.8043339283643,324.2591714009642,385.3923238157884,385.3923238157884,385.3923238157884,385.3923238157884,385.3959539845935
BR,CO,PE,,361.421787688899,-24.454344044222772,256.5357618264271,269.6469916335296,269.6469916335296,289.1407555142738,361.421787688899,361.421787688899,361.421787688899,361.421787688899,361.42629992330137
BR,CO,PE,CL,420.8596102611464,-31.719070905961573,313.4787875455431,326.902366180549,326.902366180549,353.74992255345455,420.8596102611464,420.8596102611464,420.8596102611464,420.8596102611464,420.86843394618484
BR,PE,,,309.7571943412042,-30.096282090094544,220.2946689361331,231.47766921504729,231.47766921504729,247.8080011779317,309.7571943412042,309.7571943412042,309.7571943412042,309.7571943412042,309.7601063557823
BR,PE,CL,,369.19636144070176,-37.49740996674169,277.2376885779655,288.73313874315426,295.3611614286283,311.7245095029493,369.19636144070176,369.19636144070176,369.19636144070176,369.19636144070176,369.20224037866575
CL,,,,59.44213402288313,-72.53215489336293,56.94193576747235,57.22119650521681,57.498813694883445,57.776430884550145,59.44213402288313,59.44213402288313,59.44213402288313,59.44213402288313,59.44213402288345
CO,,,,51.66619356751745,11.369318540041384,36.2602210101344,36.2602210101344,38.169218460852456,40.097357760852404,49.738054266519065,49.738054266519065,51.66619356751745,51.66619356751745,51.66619356751907
