country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KH,,,,19.2,0.322,Electricity Distribution
KH,,,,19.2,0.00679,Gas Power Plant (CCGT)
KH,,,,19.2,0.736,Electricity Transmission
KH,,,,19.2,0.729,Coal Power Plant
KH,,,,19.2,1.13,Solar PV (Utility)
KH,,,,19.2,9.95,CSP with Storage
KH,,,,19.2,7.47,Large Hydropower Plant (Dam) (>100MW)
KH,,,,19.2,0.201,Medium Hydropower Plant (10-100MW)
KH,,,,19.2,0.188,Small Hydropower Plant (<10MW)
KH,,,,19.2,1.36,Onshore Wind
KH,,,,19.2,0.553,Offshore Wind
KH,,,,19.2,0.905,Utility-scale PV with 2 hour storage
KH,,,,19.2,1.57,Onshore Wind power plant with storage
KH,,,,19.2,6.51E-07,Electricity Imports
KH,,,,19.2,1.2,Solar PV (Distributed with Storage)
KH,,,,19.2,0.023,Off-grid Hydropower
KH,,,,19.2,0.0082,Oil Fired Gas Turbine (SCGT)
KH,,,,19.2,0.134,Gasoline Motorcycle
KH,,,,19.2,0.0801,Gasoline Car
KH,,,,19.2,0.0339,Gasoline Bus + Rail
KH,,,,19.2,0.138,Industry Biomass Heating 
KH,,,,19.2,0.00627,Residential Electric Stove
KH,,,,19.2,0.00736,Residential Oil Heating
KH,,,,19.2,0.313,Industry Coal Heating
KH,,,,19.2,0.00142,Biomass Power Plant
KH,,,,19.2,0.0222,Residential LPG/Kerosene Stove
KH,,,,19.2,0.178,Residential Biomass Stove
KH,,,,19.2,0.226,Residential Biomass Heating
KH,,,,19.2,0.0384,Commercial Biomass Heating 
KH,,,,19.2,0.0958,Industry Natural Gas Heating
KH,,,,19.2,4.48,Biomass Extraction
KH,,,,19.2,4.72E-05,Hydro Potential
KH,,,,19.2,2.19E-05,Solar Potential
KH,,,,19.2,5.36E-06,Wind Potential
KH,,,,19.2,1.91,Coal Imports
KH,,,,19.2,64,Light Fuel Oil Imports
KH,,,,19.2,0,Commercial Oil Heating
KH,,,,28.9,0.261,Electricity Distribution
KH,,,,28.9,0.069,Gas Power Plant (CCGT)
KH,,,,28.9,0.604,Electricity Transmission
KH,,,,28.9,0.729,Coal Power Plant
KH,,,,28.9,1.15,Solar PV (Utility)
KH,,,,28.9,3.89,CSP with Storage
KH,,,,28.9,7.36,Large Hydropower Plant (Dam) (>100MW)
KH,,,,28.9,0.184,Medium Hydropower Plant (10-100MW)
KH,,,,28.9,0.152,Small Hydropower Plant (<10MW)
KH,,,,28.9,1.07,Onshore Wind
KH,,,,28.9,0.498,Offshore Wind
KH,,,,28.9,0.839,Utility-scale PV with 2 hour storage
KH,,,,28.9,1.28,Onshore Wind power plant with storage
KH,,,,28.9,6.74E-07,Electricity Imports
KH,,,,28.9,1.16,Solar PV (Distributed with Storage)
KH,,,,28.9,0.0209,Off-grid Hydropower
KH,,,,28.9,0.0082,Oil Fired Gas Turbine (SCGT)
KH,,,,28.9,0.134,Gasoline Motorcycle
KH,,,,28.9,0.0956,Gasoline Car
KH,,,,28.9,0.0541,Gasoline Bus + Rail
KH,,,,28.9,0.141,Industry Biomass Heating 
KH,,,,28.9,0.00627,Residential Electric Stove
KH,,,,28.9,0.0145,Residential Oil Heating
KH,,,,28.9,0.316,Industry Coal Heating
KH,,,,28.9,0.00142,Biomass Power Plant
KH,,,,28.9,0.0209,Residential LPG/Kerosene Stove
KH,,,,28.9,0.178,Residential Biomass Stove
KH,,,,28.9,0.245,Residential Biomass Heating
KH,,,,28.9,0.0477,Commercial Biomass Heating 
KH,,,,28.9,0.0814,Industry Natural Gas Heating
KH,,,,28.9,4.65,Biomass Extraction
KH,,,,28.9,4.64E-05,Hydro Potential
KH,,,,28.9,1.41E-05,Solar Potential
KH,,,,28.9,4.45E-06,Wind Potential
KH,,,,28.9,1.93,Coal Imports
KH,,,,28.9,64.8,Light Fuel Oil Imports
KH,,,,28.9,0.00275,Commercial Oil Heating
KH,,,,38.5,0.216,Electricity Distribution
KH,,,,38.5,0.154,Gas Power Plant (CCGT)
KH,,,,38.5,0.506,Electricity Transmission
KH,,,,38.5,0.729,Coal Power Plant
KH,,,,38.5,1.19,Solar PV (Utility)
KH,,,,38.5,0.185,CSP with Storage
KH,,,,38.5,7.19,Large Hydropower Plant (Dam) (>100MW)
KH,,,,38.5,0.181,Medium Hydropower Plant (10-100MW)
KH,,,,38.5,0.141,Small Hydropower Plant (<10MW)
KH,,,,38.5,0.772,Onshore Wind
KH,,,,38.5,0.464,Offshore Wind
KH,,,,38.5,0.862,Utility-scale PV with 2 hour storage
KH,,,,38.5,1.19,Onshore Wind power plant with storage
KH,,,,38.5,6.86E-07,Electricity Imports
KH,,,,38.5,1.03,Solar PV (Distributed with Storage)
KH,,,,38.5,0.0187,Off-grid Hydropower
KH,,,,38.5,0.0082,Oil Fired Gas Turbine (SCGT)
KH,,,,38.5,0.134,Gasoline Motorcycle
KH,,,,38.5,0.124,Gasoline Car
KH,,,,38.5,0.0652,Gasoline Bus + Rail
KH,,,,38.5,0.151,Industry Biomass Heating 
KH,,,,38.5,0.00627,Residential Electric Stove
KH,,,,38.5,0.0124,Residential Oil Heating
KH,,,,38.5,0.317,Industry Coal Heating
KH,,,,38.5,0.00142,Biomass Power Plant
KH,,,,38.5,0.0191,Residential LPG/Kerosene Stove
KH,,,,38.5,0.181,Residential Biomass Stove
KH,,,,38.5,0.251,Residential Biomass Heating
KH,,,,38.5,0.0504,Commercial Biomass Heating 
KH,,,,38.5,0.069,Industry Natural Gas Heating
KH,,,,38.5,4.85,Biomass Extraction
KH,,,,38.5,4.54E-05,Hydro Potential
KH,,,,38.5,8.87E-06,Solar Potential
KH,,,,38.5,3.82E-06,Wind Potential
KH,,,,38.5,1.97,Coal Imports
KH,,,,38.5,64.5,Light Fuel Oil Imports
KH,,,,38.5,0.00235,Commercial Oil Heating
KH,,,,48.1,0.202,Electricity Distribution
KH,,,,48.1,0.389,Gas Power Plant (CCGT)
KH,,,,48.1,0.472,Electricity Transmission
KH,,,,48.1,0.729,Coal Power Plant
KH,,,,48.1,1.15,Solar PV (Utility)
KH,,,,48.1,0,CSP with Storage
KH,,,,48.1,6.97,Large Hydropower Plant (Dam) (>100MW)
KH,,,,48.1,0.158,Medium Hydropower Plant (10-100MW)
KH,,,,48.1,0.133,Small Hydropower Plant (<10MW)
KH,,,,48.1,0.007,Onshore Wind
KH,,,,48.1,0.444,Offshore Wind
KH,,,,48.1,0.807,Utility-scale PV with 2 hour storage
KH,,,,48.1,0,Onshore Wind power plant with storage
KH,,,,48.1,6.72E-07,Electricity Imports
KH,,,,48.1,0.873,Solar PV (Distributed with Storage)
KH,,,,48.1,0.0169,Off-grid Hydropower
KH,,,,48.1,0.0082,Oil Fired Gas Turbine (SCGT)
KH,,,,48.1,0.134,Gasoline Motorcycle
KH,,,,48.1,0.145,Gasoline Car
KH,,,,48.1,0.073,Gasoline Bus + Rail
KH,,,,48.1,0.157,Industry Biomass Heating 
KH,,,,48.1,0.00627,Residential Electric Stove
KH,,,,48.1,0.00462,Residential Oil Heating
KH,,,,48.1,0.338,Industry Coal Heating
KH,,,,48.1,0.00142,Biomass Power Plant
KH,,,,48.1,0.017,Residential LPG/Kerosene Stove
KH,,,,48.1,0.185,Residential Biomass Stove
KH,,,,48.1,0.263,Residential Biomass Heating
KH,,,,48.1,0.0516,Commercial Biomass Heating 
KH,,,,48.1,0.0399,Industry Natural Gas Heating
KH,,,,48.1,5.07,Biomass Extraction
KH,,,,48.1,4.41E-05,Hydro Potential
KH,,,,48.1,8.22E-06,Solar Potential
KH,,,,48.1,1.18E-06,Wind Potential
KH,,,,48.1,2.09,Coal Imports
KH,,,,48.1,63.1,Light Fuel Oil Imports
KH,,,,48.1,0.000987,Commercial Oil Heating
KH,,,,57.7,0.192,Electricity Distribution
KH,,,,57.7,0.393,Gas Power Plant (CCGT)
KH,,,,57.7,0.451,Electricity Transmission
KH,,,,57.7,0.75,Coal Power Plant
KH,,,,57.7,1.13,Solar PV (Utility)
KH,,,,57.7,0,CSP with Storage
KH,,,,57.7,6.79,Large Hydropower Plant (Dam) (>100MW)
KH,,,,57.7,0.141,Medium Hydropower Plant (10-100MW)
KH,,,,57.7,0.126,Small Hydropower Plant (<10MW)
KH,,,,57.7,0.007,Onshore Wind
KH,,,,57.7,0.424,Offshore Wind
KH,,,,57.7,0.692,Utility-scale PV with 2 hour storage
KH,,,,57.7,0,Onshore Wind power plant with storage
KH,,,,57.7,6.56E-07,Electricity Imports
KH,,,,57.7,0.81,Solar PV (Distributed with Storage)
KH,,,,57.7,0.0154,Off-grid Hydropower
KH,,,,57.7,0.0082,Oil Fired Gas Turbine (SCGT)
KH,,,,57.7,0.134,Gasoline Motorcycle
KH,,,,57.7,0.161,Gasoline Car
KH,,,,57.7,0.0736,Gasoline Bus + Rail
KH,,,,57.7,0.158,Industry Biomass Heating 
KH,,,,57.7,0.00627,Residential Electric Stove
KH,,,,57.7,0,Residential Oil Heating
KH,,,,57.7,0.35,Industry Coal Heating
KH,,,,57.7,0.00142,Biomass Power Plant
KH,,,,57.7,0.0132,Residential LPG/Kerosene Stove
KH,,,,57.7,0.191,Residential Biomass Stove
KH,,,,57.7,0.263,Residential Biomass Heating
