country_1,country_2,country_3,country_4,collaboration_emissions,technology_name,technology_cost
KH,TH,VN,,131.0826849695453,Rooftop PV [VN],1.2316964555295404e-09
KH,TH,VN,,131.0826849695453,Openfield PV [VN],0.7695335494593712
KH,TH,VN,,131.0826849695453,Onshore wind [VN],4.322954388088614e-07
KH,TH,VN,,131.0826849695453,Offshore wind [VN],6.198360299644777
KH,TH,VN,,131.0826849695453,Fossil fuel powerplant [VN],3.0388785020315026
KH,TH,VN,,131.0826849695453,Battery storage [VN],0.0267834014078408
KH,TH,VN,,131.0826849695453,Electric High Temp. Heating [VN],0.5011368976800548
KH,TH,VN,,131.0826849695453,Electricity to Ammonia [VN],0.0001572255577611
KH,TH,VN,,131.0826849695453,Ammonia storage [VN],0.0007037897629791
KH,TH,VN,,131.0826849695453,Ammonia to electricity [VN],1.783559554346078e-05
KH,TH,VN,,131.0826849695453,Ammonia High Temp. Heating [VN],0.0003624672682812
KH,TH,VN,,131.0826849695453,Fossil High Temp. Heating [VN],3.3237275823736305
KH,TH,VN,,131.0826849695453,Electricity Demand [VN],0.0
KH,TH,VN,,131.0826849695453,High Temp. Heating Demand [VN],0.0
KH,TH,VN,,131.0826849695453,Rooftop PV [TH],1.1615447549130303e-09
KH,TH,VN,,131.0826849695453,Openfield PV [TH],1.940365520703537
KH,TH,VN,,131.0826849695453,Onshore wind [TH],6.357546484701368
KH,TH,VN,,131.0826849695453,Offshore wind [TH],3.145130612897541e-09
KH,TH,VN,,131.0826849695453,Fossil fuel powerplant [TH],3.5148444560257066
KH,TH,VN,,131.0826849695453,Battery storage [TH],0.2022359313512237
KH,TH,VN,,131.0826849695453,Electric High Temp. Heating [TH],0.3671675947115716
KH,TH,VN,,131.0826849695453,Electricity to Ammonia [TH],4.563927561184716e-06
KH,TH,VN,,131.0826849695453,Ammonia storage [TH],1.1119647045844884e-05
KH,TH,VN,,131.0826849695453,Ammonia to electricity [TH],1.3245825810856691e-05
KH,TH,VN,,131.0826849695453,Ammonia High Temp. Heating [TH],2.5657545389274325e-07
KH,TH,VN,,131.0826849695453,Fossil High Temp. Heating [TH],2.988512004205877
KH,TH,VN,,131.0826849695453,Electricity Demand [TH],0.0
KH,TH,VN,,131.0826849695453,High Temp. Heating Demand [TH],0.0
KH,TH,VN,,131.0826849695453,Rooftop PV [KH],1.1136654167133955e-09
KH,TH,VN,,131.0826849695453,Openfield PV [KH],0.1402239017331385
KH,TH,VN,,131.0826849695453,Onshore wind [KH],0.7982381583359348
KH,TH,VN,,131.0826849695453,Offshore wind [KH],4.4630913523400494e-09
KH,TH,VN,,131.0826849695453,Fossil fuel powerplant [KH],0.0322998931505658
KH,TH,VN,,131.0826849695453,Battery storage [KH],0.0103650262229123
KH,TH,VN,,131.0826849695453,Electric High Temp. Heating [KH],0.1205492918977488
KH,TH,VN,,131.0826849695453,Electricity to Ammonia [KH],1.5119900595707996e-05
KH,TH,VN,,131.0826849695453,Ammonia storage [KH],0.0002583789062189
KH,TH,VN,,131.0826849695453,Ammonia to electricity [KH],1.5170225221795134e-06
KH,TH,VN,,131.0826849695453,Ammonia High Temp. Heating [KH],0.0001337954576165
KH,TH,VN,,131.0826849695453,Fossil High Temp. Heating [KH],0.892914666127141
KH,TH,VN,,131.0826849695453,Electricity Demand [KH],0.0
KH,TH,VN,,131.0826849695453,High Temp. Heating Demand [KH],0.0
KH,TH,VN,,65.54134366736925,Rooftop PV [VN],1.4490808277594511e-09
KH,TH,VN,,65.54134366736925,Openfield PV [VN],1.5440993827411524
KH,TH,VN,,65.54134366736925,Onshore wind [VN],5.1680877366364735
KH,TH,VN,,65.54134366736925,Offshore wind [VN],3.545123991744023
KH,TH,VN,,65.54134366736925,Fossil fuel powerplant [VN],1.8224745791408588
KH,TH,VN,,65.54134366736925,Battery storage [VN],0.4956194245122963
KH,TH,VN,,65.54134366736925,Electric High Temp. Heating [VN],0.5130686656797534
KH,TH,VN,,65.54134366736925,Electricity to Ammonia [VN],0.0093145884638683
KH,TH,VN,,65.54134366736925,Ammonia storage [VN],0.013119285335778
KH,TH,VN,,65.54134366736925,Ammonia to electricity [VN],0.0073366199132957
KH,TH,VN,,65.54134366736925,Ammonia High Temp. Heating [VN],0.0014362031065188
KH,TH,VN,,65.54134366736925,Fossil High Temp. Heating [VN],2.2650804576254164
KH,TH,VN,,65.54134366736925,Electricity Demand [VN],0.0
KH,TH,VN,,65.54134366736925,High Temp. Heating Demand [VN],0.0
KH,TH,VN,,65.54134366736925,Rooftop PV [TH],1.3168992844409091e-09
KH,TH,VN,,65.54134366736925,Openfield PV [TH],2.4557678455515712
KH,TH,VN,,65.54134366736925,Onshore wind [TH],8.731198643429273
KH,TH,VN,,65.54134366736925,Offshore wind [TH],2.4947459498426147e-09
KH,TH,VN,,65.54134366736925,Fossil fuel powerplant [TH],1.940016574989536
KH,TH,VN,,65.54134366736925,Battery storage [TH],1.0258609869029651
KH,TH,VN,,65.54134366736925,Electric High Temp. Heating [TH],0.3759088695684958
KH,TH,VN,,65.54134366736925,Electricity to Ammonia [TH],0.0085425284103932
KH,TH,VN,,65.54134366736925,Ammonia storage [TH],0.0112952842450636
KH,TH,VN,,65.54134366736925,Ammonia to electricity [TH],0.0088628568682662
KH,TH,VN,,65.54134366736925,Ammonia High Temp. Heating [TH],0.0014248989179123
KH,TH,VN,,65.54134366736925,Fossil High Temp. Heating [TH],1.956966817794277
KH,TH,VN,,65.54134366736925,Electricity Demand [TH],0.0
KH,TH,VN,,65.54134366736925,High Temp. Heating Demand [TH],0.0
KH,TH,VN,,65.54134366736925,Rooftop PV [KH],1.2862913876238678e-09
KH,TH,VN,,65.54134366736925,Openfield PV [KH],0.3120398283474997
KH,TH,VN,,65.54134366736925,Onshore wind [KH],1.0216228814198445
KH,TH,VN,,65.54134366736925,Offshore wind [KH],4.247717701539364e-09
KH,TH,VN,,65.54134366736925,Fossil fuel powerplant [KH],0.0009665376761878
KH,TH,VN,,65.54134366736925,Battery storage [KH],0.033930197454194
KH,TH,VN,,65.54134366736925,Electric High Temp. Heating [KH],0.1258415577596887
KH,TH,VN,,65.54134366736925,Electricity to Ammonia [KH],0.0012772579938937
KH,TH,VN,,65.54134366736925,Ammonia storage [KH],0.0013530841786862
KH,TH,VN,,65.54134366736925,Ammonia to electricity [KH],2.999269901168601e-06
KH,TH,VN,,65.54134366736925,Ammonia High Temp. Heating [KH],0.0004607039056426
KH,TH,VN,,65.54134366736925,Fossil High Temp. Heating [KH],0.618727557338886
KH,TH,VN,,65.54134366736925,Electricity Demand [KH],0.0
KH,TH,VN,,65.54134366736925,High Temp. Heating Demand [KH],0.0
KH,TH,VN,,0.0,Rooftop PV [VN],4.2319207639074735e-09
KH,TH,VN,,0.0,Openfield PV [VN],3.485576069848796
KH,TH,VN,,0.0,Onshore wind [VN],10.032065438692278
KH,TH,VN,,0.0,Offshore wind [VN],0.4518909559167785
KH,TH,VN,,0.0,Fossil fuel powerplant [VN],0.0
KH,TH,VN,,0.0,Battery storage [VN],2.396103704085864
KH,TH,VN,,0.0,Electric High Temp. Heating [VN],0.5130682757892897
KH,TH,VN,,0.0,Electricity to Ammonia [VN],1.1862015221309012
KH,TH,VN,,0.0,Ammonia storage [VN],5.812057594135902
KH,TH,VN,,0.0,Ammonia to electricity [VN],0.2693756712257319
KH,TH,VN,,0.0,Ammonia High Temp. Heating [VN],0.1029100181222337
KH,TH,VN,,0.0,Fossil High Temp. Heating [VN],0.0
KH,TH,VN,,0.0,Electricity Demand [VN],0.0
KH,TH,VN,,0.0,High Temp. Heating Demand [VN],0.0
KH,TH,VN,,0.0,Rooftop PV [TH],4.667220080772593e-09
KH,TH,VN,,0.0,Openfield PV [TH],4.194221121513085
KH,TH,VN,,0.0,Onshore wind [TH],13.091248466416756
KH,TH,VN,,0.0,Offshore wind [TH],4.0322693108302526e-09
KH,TH,VN,,0.0,Fossil fuel powerplant [TH],0.0
KH,TH,VN,,0.0,Battery storage [TH],2.6099501252740325
KH,TH,VN,,0.0,Electric High Temp. Heating [TH],0.3759094084175214
KH,TH,VN,,0.0,Electricity to Ammonia [TH],0.4397525811717095
KH,TH,VN,,0.0,Ammonia storage [TH],3.749726902185648
KH,TH,VN,,0.0,Ammonia to electricity [TH],0.2607963100730794
KH,TH,VN,,0.0,Ammonia High Temp. Heating [TH],0.0693212771736428
KH,TH,VN,,0.0,Fossil High Temp. Heating [TH],0.0
KH,TH,VN,,0.0,Electricity Demand [TH],0.0
KH,TH,VN,,0.0,High Temp. Heating Demand [TH],0.0
KH,TH,VN,,0.0,Rooftop PV [KH],3.763108084505967e-09
KH,TH,VN,,0.0,Openfield PV [KH],0.6164391853158219
KH,TH,VN,,0.0,Onshore wind [KH],1.595207224275465
KH,TH,VN,,0.0,Offshore wind [KH],1.209239486981405e-08
KH,TH,VN,,0.0,Fossil fuel powerplant [KH],0.0
KH,TH,VN,,0.0,Battery storage [KH],0.0189990268756859
KH,TH,VN,,0.0,Electric High Temp. Heating [KH],0.1246661356307992
KH,TH,VN,,0.0,Electricity to Ammonia [KH],0.2764336299850286
KH,TH,VN,,0.0,Ammonia storage [KH],1.151369124982775
KH,TH,VN,,0.0,Ammonia to electricity [KH],2.0315176937747637e-06
KH,TH,VN,,0.0,Ammonia High Temp. Heating [KH],0.0237274515185373
KH,TH,VN,,0.0,Fossil High Temp. Heating [KH],0.0
KH,TH,VN,,0.0,Electricity Demand [KH],0.0
KH,TH,VN,,0.0,High Temp. Heating Demand [KH],0.0
KH,TH,VN,,19.822491452331132,Rooftop PV [VN],1.728578323825548e-09
KH,TH,VN,,19.822491452331132,Openfield PV [VN],2.111980487902839
KH,TH,VN,,19.822491452331132,Onshore wind [VN],10.032065441886754
KH,TH,VN,,19.822491452331132,Offshore wind [VN],1.0573413633402924
KH,TH,VN,,19.822491452331132,Fossil fuel powerplant [VN],1.838643953865704e-06
KH,TH,VN,,19.822491452331132,Battery storage [VN],1.6726946412873906
KH,TH,VN,,19.822491452331132,Electric High Temp. Heating [VN],0.5130686726462822
KH,TH,VN,,19.822491452331132,Electricity to Ammonia [VN],0.3562077714720232
KH,TH,VN,,19.822491452331132,Ammonia storage [VN],0.9070398999911956
KH,TH,VN,,19.822491452331132,Ammonia to electricity [VN],0.3914214732415065
KH,TH,VN,,19.822491452331132,Ammonia High Temp. Heating [VN],0.0226842514601586
KH,TH,VN,,19.822491452331132,Fossil High Temp. Heating [VN],1.399994260144083
KH,TH,VN,,19.822491452331132,Electricity Demand [VN],0.0
KH,TH,VN,,19.822491452331132,High Temp. Heating Demand [VN],0.0
KH,TH,VN,,19.822491452331132,Rooftop PV [TH],1.6001536793915207e-09
KH,TH,VN,,19.822491452331132,Openfield PV [TH],3.265037008847664
KH,TH,VN,,19.822491452331132,Onshore wind [TH],10.743780739446493
KH,TH,VN,,19.822491452331132,Offshore wind [TH],2.3197759553788896e-09
KH,TH,VN,,19.822491452331132,Fossil fuel powerplant [TH],0.1500251720445362
KH,TH,VN,,19.822491452331132,Battery storage [TH],1.8407903633449665
KH,TH,VN,,19.822491452331132,Electric High Temp. Heating [TH],0.3706645631807248
KH,TH,VN,,19.822491452331132,Electricity to Ammonia [TH],0.6456549587021622
KH,TH,VN,,19.822491452331132,Ammonia storage [TH],1.4935456370578395
KH,TH,VN,,19.822491452331132,Ammonia to electricity [TH],0.4641563533115864
KH,TH,VN,,19.822491452331132,Ammonia High Temp. Heating [TH],0.0397336522759457
KH,TH,VN,,19.822491452331132,Fossil High Temp. Heating [TH],0.9607549811970788
KH,TH,VN,,19.822491452331132,Electricity Demand [TH],0.0
KH,TH,VN,,19.822491452331132,High Temp. Heating Demand [TH],0.0
KH,TH,VN,,19.822491452331132,Rooftop PV [KH],1.5474630286022286e-09
KH,TH,VN,,19.822491452331132,Openfield PV [KH],0.4543587041304556
KH,TH,VN,,19.822491452331132,Onshore wind [KH],1.612179857258963
KH,TH,VN,,19.822491452331132,Offshore wind [KH],4.50069520852452e-09
KH,TH,VN,,19.822491452331132,Fossil fuel powerplant [KH],2.298716110478053e-07
KH,TH,VN,,19.822491452331132,Battery storage [KH],0.0454914137039044
KH,TH,VN,,19.822491452331132,Electric High Temp. Heating [KH],0.1252539840668575
KH,TH,VN,,19.822491452331132,Electricity to Ammonia [KH],0.0545379106689759
KH,TH,VN,,19.822491452331132,Ammonia storage [KH],0.0677943661661738
KH,TH,VN,,19.822491452331132,Ammonia to electricity [KH],1.221427448162818e-06
KH,TH,VN,,19.822491452331132,Ammonia High Temp. Heating [KH],0.004412810722026
KH,TH,VN,,19.822491452331132,Fossil High Temp. Heating [KH],0.290705235397879
KH,TH,VN,,19.822491452331132,Electricity Demand [KH],0.0
KH,TH,VN,,19.822491452331132,High Temp. Heating Demand [KH],0.0
KH,TH,VN,,39.64498292999272,Rooftop PV [VN],1.2682974141421542e-09
KH,TH,VN,,39.64498292999272,Openfield PV [VN],1.4003908766940962
KH,TH,VN,,39.64498292999272,Onshore wind [VN],9.60754969565775
KH,TH,VN,,39.64498292999272,Offshore wind [VN],1.4537471222956064
KH,TH,VN,,39.64498292999272,Fossil fuel powerplant [VN],0.4155217085759823
KH,TH,VN,,39.64498292999272,Battery storage [VN],0.9245857449608098
KH,TH,VN,,39.64498292999272,Electric High Temp. Heating [VN],0.5130685162124654
KH,TH,VN,,39.64498292999272,Electricity to Ammonia [VN],0.2089495951185062
KH,TH,VN,,39.64498292999272,Ammonia storage [VN],0.6444678428707274
KH,TH,VN,,39.64498292999272,Ammonia to electricity [VN],0.3772154467302367
KH,TH,VN,,39.64498292999272,Ammonia High Temp. Heating [VN],0.0119723410301237
KH,TH,VN,,39.64498292999272,Fossil High Temp. Heating [VN],1.7237669882669495
KH,TH,VN,,39.64498292999272,Electricity Demand [VN],0.0
KH,TH,VN,,39.64498292999272,High Temp. Heating Demand [VN],0.0
KH,TH,VN,,39.64498292999272,Rooftop PV [TH],1.1172234734049272e-09
KH,TH,VN,,39.64498292999272,Openfield PV [TH],2.9655410823519293
KH,TH,VN,,39.64498292999272,Onshore wind [TH],9.335115044920746
KH,TH,VN,,39.64498292999272,Offshore wind [TH],1.959202616292415e-09
KH,TH,VN,,39.64498292999272,Fossil fuel powerplant [TH],1.2765443333610271
KH,TH,VN,,39.64498292999272,Battery storage [TH],1.619295464852181
KH,TH,VN,,39.64498292999272,Electric High Temp. Heating [TH],0.3729733818469493
KH,TH,VN,,39.64498292999272,Electricity to Ammonia [TH],0.0687148471435773
KH,TH,VN,,39.64498292999272,Ammonia storage [TH],0.1373066290682092
KH,TH,VN,,39.64498292999272,Ammonia to electricity [TH],0.1021331219550228
KH,TH,VN,,39.64498292999272,Ammonia High Temp. Heating [TH],0.002736605991003
KH,TH,VN,,39.64498292999272,Fossil High Temp. Heating [TH],1.5686453119796906
KH,TH,VN,,39.64498292999272,Electricity Demand [TH],0.0
KH,TH,VN,,39.64498292999272,High Temp. Heating Demand [TH],0.0
KH,TH,VN,,39.64498292999272,Rooftop PV [KH],1.0924210713085595e-09
KH,TH,VN,,39.64498292999272,Openfield PV [KH],0.4084871702752456
KH,TH,VN,,39.64498292999272,Onshore wind [KH],1.2549030730380308
KH,TH,VN,,39.64498292999272,Offshore wind [KH],4.477353899527432e-09
KH,TH,VN,,39.64498292999272,Fossil fuel powerplant [KH],8.509456224865876e-07
KH,TH,VN,,39.64498292999272,Battery storage [KH],0.0133207254579805
KH,TH,VN,,39.64498292999272,Electric High Temp. Heating [KH],0.1246970219589974
KH,TH,VN,,39.64498292999272,Electricity to Ammonia [KH],0.0157266711739815
KH,TH,VN,,39.64498292999272,Ammonia storage [KH],0.0112244732553234
KH,TH,VN,,39.64498292999272,Ammonia to electricity [KH],7.861276435236971e-07
KH,TH,VN,,39.64498292999272,Ammonia High Temp. Heating [KH],0.0013477618337005
KH,TH,VN,,39.64498292999272,Fossil High Temp. Heating [KH],0.462592665247185
KH,TH,VN,,39.64498292999272,Electricity Demand [KH],0.0
KH,TH,VN,,39.64498292999272,High Temp. Heating Demand [KH],0.0
KH,TH,VN,,59.46747437903422,Rooftop PV [VN],1.4722501373450782e-09
KH,TH,VN,,59.46747437903422,Openfield PV [VN],1.4357270223343794
KH,TH,VN,,59.46747437903422,Onshore wind [VN],7.08744361736971
KH,TH,VN,,59.46747437903422,Offshore wind [VN],2.486577294985681
KH,TH,VN,,59.46747437903422,Fossil fuel powerplant [VN],1.5495269623647892
KH,TH,VN,,59.46747437903422,Battery storage [VN],0.5027729739245217
KH,TH,VN,,59.46747437903422,Electric High Temp. Heating [VN],0.5119185620726867
KH,TH,VN,,59.46747437903422,Electricity to Ammonia [VN],0.0367489622205352
KH,TH,VN,,59.46747437903422,Ammonia storage [VN],0.0626816050547145
KH,TH,VN,,59.46747437903422,Ammonia to electricity [VN],0.0465624855628696
KH,TH,VN,,59.46747437903422,Ammonia High Temp. Heating [VN],0.0027654137210557
KH,TH,VN,,59.46747437903422,Fossil High Temp. Heating [VN],2.1043135927001546
KH,TH,VN,,59.46747437903422,Electricity Demand [VN],0.0
KH,TH,VN,,59.46747437903422,High Temp. Heating Demand [VN],0.0
KH,TH,VN,,59.46747437903422,Rooftop PV [TH],1.3538150361927462e-09
KH,TH,VN,,59.46747437903422,Openfield PV [TH],2.5137844599431025
KH,TH,VN,,59.46747437903422,Onshore wind [TH],8.829666635358292
KH,TH,VN,,59.46747437903422,Offshore wind [TH],2.398272712133784e-09
KH,TH,VN,,59.46747437903422,Fossil fuel powerplant [TH],1.8872578466974923
KH,TH,VN,,59.46747437903422,Battery storage [TH],1.0689421526668184
KH,TH,VN,,59.46747437903422,Electric High Temp. Heating [TH],0.3759088941349609
KH,TH,VN,,59.46747437903422,Electricity to Ammonia [TH],0.0060302145622243
KH,TH,VN,,59.46747437903422,Ammonia storage [TH],0.0079820113630638
KH,TH,VN,,59.46747437903422,Ammonia to electricity [TH],0.0055481859800195
KH,TH,VN,,59.46747437903422,Ammonia High Temp. Heating [TH],0.0011140222139338
KH,TH,VN,,59.46747437903422,Fossil High Temp. Heating [TH],1.9147115692357264
KH,TH,VN,,59.46747437903422,Electricity Demand [TH],0.0
KH,TH,VN,,59.46747437903422,High Temp. Heating Demand [TH],0.0
KH,TH,VN,,59.46747437903422,Rooftop PV [KH],1.2633601774729455e-09
KH,TH,VN,,59.46747437903422,Openfield PV [KH],0.3553058408480141
KH,TH,VN,,59.46747437903422,Onshore wind [KH],1.023904582127921
KH,TH,VN,,59.46747437903422,Offshore wind [KH],5.431086487647138e-09
KH,TH,VN,,59.46747437903422,Fossil fuel powerplant [KH],0.0013197186479941
KH,TH,VN,,59.46747437903422,Battery storage [KH],0.0328615403474376
KH,TH,VN,,59.46747437903422,Electric High Temp. Heating [KH],0.1258416272403079
KH,TH,VN,,59.46747437903422,Electricity to Ammonia [KH],0.000938477735332
KH,TH,VN,,59.46747437903422,Ammonia storage [KH],0.0013184953274857
KH,TH,VN,,59.46747437903422,Ammonia to electricity [KH],4.305010151988577e-06
KH,TH,VN,,59.46747437903422,Ammonia High Temp. Heating [KH],0.0004362917704641
KH,TH,VN,,59.46747437903422,Fossil High Temp. Heating [KH],0.5957324527441141
KH,TH,VN,,59.46747437903422,Electricity Demand [KH],0.0
KH,TH,VN,,59.46747437903422,High Temp. Heating Demand [KH],0.0
KH,TH,VN,,79.28996570237342,Rooftop PV [VN],1.8552019158729143e-09
KH,TH,VN,,79.28996570237342,Openfield PV [VN],1.3726863248536898
KH,TH,VN,,79.28996570237342,Onshore wind [VN],3.2764203107203778
KH,TH,VN,,79.28996570237342,Offshore wind [VN],4.579030869454057
KH,TH,VN,,79.28996570237342,Fossil fuel powerplant [VN],2.2599864127259974
KH,TH,VN,,79.28996570237342,Battery storage [VN],0.1540443681597936
KH,TH,VN,,79.28996570237342,Electric High Temp. Heating [VN],0.5130681731304274
KH,TH,VN,,79.28996570237342,Electricity to Ammonia [VN],0.0029422914661649
KH,TH,VN,,79.28996570237342,Ammonia storage [VN],0.0041443150519028
KH,TH,VN,,79.28996570237342,Ammonia to electricity [VN],0.0030764414474995
KH,TH,VN,,79.28996570237342,Ammonia High Temp. Heating [VN],0.0005457471852664
KH,TH,VN,,79.28996570237342,Fossil High Temp. Heating [VN],2.5486075523038947
KH,TH,VN,,79.28996570237342,Electricity Demand [VN],0.0
KH,TH,VN,,79.28996570237342,High Temp. Heating Demand [VN],0.0
KH,TH,VN,,79.28996570237342,Rooftop PV [TH],1.738841748925002e-09
KH,TH,VN,,79.28996570237342,Openfield PV [TH],2.3616306306030306
KH,TH,VN,,79.28996570237342,Onshore wind [TH],8.298756331746217
KH,TH,VN,,79.28996570237342,Offshore wind [TH],3.271262768890072e-09
KH,TH,VN,,79.28996570237342,Fossil fuel powerplant [TH],2.1628759851732604
KH,TH,VN,,79.28996570237342,Battery storage [TH],0.9052676874274602
KH,TH,VN,,79.28996570237342,Electric High Temp. Heating [TH],0.3758705347119045
KH,TH,VN,,79.28996570237342,Electricity to Ammonia [TH],0.002298311776142
KH,TH,VN,,79.28996570237342,Ammonia storage [TH],0.0037696434694013
KH,TH,VN,,79.28996570237342,Ammonia to electricity [TH],0.003595811443144
KH,TH,VN,,79.28996570237342,Ammonia High Temp. Heating [TH],0.0003077870436406
KH,TH,VN,,79.28996570237342,Fossil High Temp. Heating [TH],2.1169760449479265
KH,TH,VN,,79.28996570237342,Electricity Demand [TH],0.0
KH,TH,VN,,79.28996570237342,High Temp. Heating Demand [TH],0.0
KH,TH,VN,,79.28996570237342,Rooftop PV [KH],1.638323310096161e-09
KH,TH,VN,,79.28996570237342,Openfield PV [KH],0.2904116109035599
KH,TH,VN,,79.28996570237342,Onshore wind [KH],0.90462088090394
KH,TH,VN,,79.28996570237342,Offshore wind [KH],5.664067448836338e-09
KH,TH,VN,,79.28996570237342,Fossil fuel powerplant [KH],0.0208283747989781
KH,TH,VN,,79.28996570237342,Battery storage [KH],0.0137443222827968
KH,TH,VN,,79.28996570237342,Electric High Temp. Heating [KH],0.1251569570959212
KH,TH,VN,,79.28996570237342,Electricity to Ammonia [KH],7.553906432530712e-05
KH,TH,VN,,79.28996570237342,Ammonia storage [KH],0.000251256181437
KH,TH,VN,,79.28996570237342,Ammonia to electricity [KH],4.846046268995354e-06
KH,TH,VN,,79.28996570237342,Ammonia High Temp. Heating [KH],0.0001287641225153
KH,TH,VN,,79.28996570237342,Fossil High Temp. Heating [KH],0.6995066100080476
KH,TH,VN,,79.28996570237342,Electricity Demand [KH],0.0
KH,TH,VN,,79.28996570237342,High Temp. Heating Demand [KH],0.0
KH,TH,VN,,99.11245713274818,Rooftop PV [VN],6.770860312087903e-10
KH,TH,VN,,99.11245713274818,Openfield PV [VN],1.24404083076209
KH,TH,VN,,99.11245713274818,Onshore wind [VN],1.4827587710517998
KH,TH,VN,,99.11245713274818,Offshore wind [VN],5.58009486620771
KH,TH,VN,,99.11245713274818,Fossil fuel powerplant [VN],2.6026057041337713
KH,TH,VN,,99.11245713274818,Battery storage [VN],0.0502178568610744
KH,TH,VN,,99.11245713274818,Electric High Temp. Heating [VN],0.5090803542593603
KH,TH,VN,,99.11245713274818,Electricity to Ammonia [VN],9.272103578530798e-06
KH,TH,VN,,99.11245713274818,Ammonia storage [VN],1.986426374304168e-05
KH,TH,VN,,99.11245713274818,Ammonia to electricity [VN],7.908045837616239e-06
KH,TH,VN,,99.11245713274818,Ammonia High Temp. Heating [VN],6.1438509235614165e-06
KH,TH,VN,,99.11245713274818,Fossil High Temp. Heating [VN],2.8046117958814554
KH,TH,VN,,99.11245713274818,Electricity Demand [VN],0.0
KH,TH,VN,,99.11245713274818,High Temp. Heating Demand [VN],0.0
KH,TH,VN,,99.11245713274818,Rooftop PV [TH],5.727741914071473e-10
KH,TH,VN,,99.11245713274818,Openfield PV [TH],2.084862437112627
KH,TH,VN,,99.11245713274818,Onshore wind [TH],7.556194849631569
KH,TH,VN,,99.11245713274818,Offshore wind [TH],1.349858848538442e-09
KH,TH,VN,,99.11245713274818,Fossil fuel powerplant [TH],2.8446218935236556
KH,TH,VN,,99.11245713274818,Battery storage [TH],0.3988169386814743
KH,TH,VN,,99.11245713274818,Electric High Temp. Heating [TH],0.3724130525656362
KH,TH,VN,,99.11245713274818,Electricity to Ammonia [TH],4.647243446565098e-06
KH,TH,VN,,99.11245713274818,Ammonia storage [TH],5.82446424889021e-06
KH,TH,VN,,99.11245713274818,Ammonia to electricity [TH],5.542407243752296e-06
KH,TH,VN,,99.11245713274818,Ammonia High Temp. Heating [TH],5.002732001964017e-07
KH,TH,VN,,99.11245713274818,Fossil High Temp. Heating [TH],2.4566744736641386
KH,TH,VN,,99.11245713274818,Electricity Demand [TH],0.0
KH,TH,VN,,99.11245713274818,High Temp. Heating Demand [TH],0.0
KH,TH,VN,,99.11245713274818,Rooftop PV [KH],5.548217048634908e-10
KH,TH,VN,,99.11245713274818,Openfield PV [KH],0.2600509905528642
KH,TH,VN,,99.11245713274818,Onshore wind [KH],0.8524724757661958
KH,TH,VN,,99.11245713274818,Offshore wind [KH],2.845078793748354e-09
KH,TH,VN,,99.11245713274818,Fossil fuel powerplant [KH],0.0267658185407709
KH,TH,VN,,99.11245713274818,Battery storage [KH],0.0110988115951896
KH,TH,VN,,99.11245713274818,Electric High Temp. Heating [KH],0.1240773679599665
KH,TH,VN,,99.11245713274818,Electricity to Ammonia [KH],8.618604736991685e-05
KH,TH,VN,,99.11245713274818,Ammonia storage [KH],0.0002852570897591
KH,TH,VN,,99.11245713274818,Ammonia to electricity [KH],9.467248751599152e-07
KH,TH,VN,,99.11245713274818,Ammonia High Temp. Heating [KH],0.0001488645365353
KH,TH,VN,,99.11245713274818,Fossil High Temp. Heating [KH],0.7521252293843019
KH,TH,VN,,99.11245713274818,Electricity Demand [KH],0.0
KH,TH,VN,,99.11245713274818,High Temp. Heating Demand [KH],0.0
KH,TH,VN,,118.9349478044653,Rooftop PV [VN],1.5855831845812802e-09
KH,TH,VN,,118.9349478044653,Openfield PV [VN],0.951435590954148
KH,TH,VN,,118.9349478044653,Onshore wind [VN],4.870102474678708e-07
KH,TH,VN,,118.9349478044653,Offshore wind [VN],6.4317882523074585
KH,TH,VN,,118.9349478044653,Fossil fuel powerplant [VN],2.9289014574660786
KH,TH,VN,,118.9349478044653,Battery storage [VN],0.0276816398062841
KH,TH,VN,,118.9349478044653,Electric High Temp. Heating [VN],0.505909457407644
KH,TH,VN,,118.9349478044653,Electricity to Ammonia [VN],0.0001965234752013
KH,TH,VN,,118.9349478044653,Ammonia storage [VN],0.0006998997171261
KH,TH,VN,,118.9349478044653,Ammonia to electricity [VN],1.905954477225931e-05
KH,TH,VN,,118.9349478044653,Ammonia High Temp. Heating [VN],0.0003591926810025
KH,TH,VN,,118.9349478044653,Fossil High Temp. Heating [VN],3.107598729028943
KH,TH,VN,,118.9349478044653,Electricity Demand [VN],0.0
KH,TH,VN,,118.9349478044653,High Temp. Heating Demand [VN],0.0
KH,TH,VN,,118.9349478044653,Rooftop PV [TH],1.487596572386695e-09
