country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,,,0,14,Tech_A
SG,ID,,,3,9,Tech_A
SG,ID,,,6,5,Tech_A
SG,ID,,,9,4,Tech_A
SG,ID,,,12,3.5,Tech_A
SG,ID,,,15,3,Tech_A
SG,ID,,,18,2,Tech_A
SG,ID,,,21,2,Tech_A
SG,ID,,,24,1,Tech_A
SG,ID,,,27,0,Tech_A
SG,ID,,,0,12,Tech_B
SG,ID,,,3,12,Tech_B
SG,ID,,,6,12,Tech_B
SG,ID,,,9,11,Tech_B
SG,ID,,,12,9,Tech_B
SG,ID,,,15,7,Tech_B
SG,ID,,,18,5,Tech_B
SG,ID,,,21,3,Tech_B
SG,ID,,,24,2,Tech_B
SG,ID,,,27,1,Tech_B
SG,ID,,,0,7,Tech_C
SG,ID,,,3,7,Tech_C
SG,ID,,,6,7,Tech_C
SG,ID,,,9,7,Tech_C
SG,ID,,,12,7,Tech_C
SG,ID,,,15,7,Tech_C
SG,ID,,,18,8,Tech_C
SG,ID,,,21,9,Tech_C
SG,ID,,,24,10,Tech_C
SG,ID,,,27,11,Tech_C
SG,ID,,,0,1,Tech_D
SG,ID,,,3,1,Tech_D
SG,ID,,,6,2,Tech_D
SG,ID,,,9,3,Tech_D
SG,ID,,,12,4,Tech_D
SG,ID,,,15,3,Tech_D
SG,ID,,,18,2,Tech_D
SG,ID,,,21,1,Tech_D
SG,ID,,,24,0,Tech_D
SG,ID,,,27,0,Tech_D
SG,ID,,,0,14,Tech_E
SG,ID,,,3,10,Tech_E
SG,ID,,,6,9,Tech_E
SG,ID,,,9,7,Tech_E
SG,ID,,,12,5,Tech_E
SG,ID,,,15,4,Tech_E
SG,ID,,,18,3,Tech_E
SG,ID,,,21,2,Tech_E
SG,ID,,,24,1,Tech_E
SG,ID,,,27,0,Tech_E
IN,,,,0,2,transport
IN,,,,1,7,transport
IN,,,,2,3,transport
IN,,,,3,3,transport
IN,,,,4,4,transport
IN,,,,5,5,transport
IN,,,,6,1,transport
IN,,,,7,7,transport
IN,,,,8,4,transport
IN,,,,9,4,transport
IN,,,,0,4,windenergy
IN,,,,1,4,windenergy
IN,,,,2,7,windenergy
IN,,,,3,6,windenergy
IN,,,,4,4,windenergy
IN,,,,5,3,windenergy
IN,,,,6,7,windenergy
IN,,,,7,3,windenergy
IN,,,,8,1,windenergy
IN,,,,9,5,windenergy
IN,,,,0,6,nuclear
IN,,,,1,7,nuclear
IN,,,,2,7,nuclear
IN,,,,3,6,nuclear
IN,,,,4,7,nuclear
IN,,,,5,2,nuclear
IN,,,,6,6,nuclear
IN,,,,7,1,nuclear
IN,,,,8,6,nuclear
IN,,,,9,6,nuclear
IN,,,,0,7,biomass
IN,,,,1,3,biomass
IN,,,,2,2,biomass
IN,,,,3,1,biomass
IN,,,,4,1,biomass
IN,,,,5,6,biomass
IN,,,,6,3,biomass
IN,,,,7,2,biomass
IN,,,,8,6,biomass
IN,,,,9,3,biomass
IN,,,,0,1,waterenergy
IN,,,,1,2,waterenergy
IN,,,,2,6,waterenergy
IN,,,,3,5,waterenergy
IN,,,,4,4,waterenergy
IN,,,,5,4,waterenergy
IN,,,,6,5,waterenergy
IN,,,,7,3,waterenergy
IN,,,,8,6,waterenergy
IN,,,,9,1,waterenergy
IN,,,,0,6,newtech
IN,,,,1,7,newtech
IN,,,,2,5,newtech
IN,,,,3,3,newtech
IN,,,,4,1,newtech
IN,,,,5,2,newtech
IN,,,,6,3,newtech
IN,,,,7,3,newtech
IN,,,,8,4,newtech
IN,,,,9,7,newtech
IN,,,,0,3,wonderstuff
IN,,,,1,1,wonderstuff
IN,,,,2,5,wonderstuff
IN,,,,3,3,wonderstuff
IN,,,,4,7,wonderstuff
IN,,,,5,3,wonderstuff
IN,,,,6,1,wonderstuff
IN,,,,7,1,wonderstuff
IN,,,,8,6,wonderstuff
IN,,,,9,5,wonderstuff
PH,,,,0,4,transport
PH,,,,1,1,transport
PH,,,,2,4,transport
PH,,,,3,3,transport
PH,,,,4,7,transport
PH,,,,5,4,transport
PH,,,,6,7,transport
PH,,,,7,6,transport
PH,,,,8,7,transport
PH,,,,9,7,transport
PH,,,,0,4,windenergy
PH,,,,1,1,windenergy
PH,,,,2,1,windenergy
PH,,,,3,5,windenergy
PH,,,,4,3,windenergy
PH,,,,5,3,windenergy
PH,,,,6,3,windenergy
PH,,,,7,3,windenergy
PH,,,,8,6,windenergy
PH,,,,9,1,windenergy
PH,,,,0,5,nuclear
PH,,,,1,1,nuclear
PH,,,,2,7,nuclear
PH,,,,3,2,nuclear
PH,,,,4,4,nuclear
PH,,,,5,4,nuclear
PH,,,,6,3,nuclear
PH,,,,7,5,nuclear
PH,,,,8,2,nuclear
PH,,,,9,3,nuclear
PH,,,,0,3,biomass
PH,,,,1,1,biomass
PH,,,,2,1,biomass
PH,,,,3,3,biomass
PH,,,,4,3,biomass
PH,,,,5,1,biomass
PH,,,,6,4,biomass
PH,,,,7,4,biomass
PH,,,,8,7,biomass
PH,,,,9,7,biomass
PH,,,,0,5,waterenergy
PH,,,,1,4,waterenergy
PH,,,,2,6,waterenergy
PH,,,,3,6,waterenergy
PH,,,,4,1,waterenergy
PH,,,,5,4,waterenergy
PH,,,,6,3,waterenergy
PH,,,,7,1,waterenergy
PH,,,,8,3,waterenergy
PH,,,,9,7,waterenergy
PH,,,,0,3,newtech
PH,,,,1,2,newtech
PH,,,,2,5,newtech
PH,,,,3,1,newtech
PH,,,,4,2,newtech
PH,,,,5,4,newtech
PH,,,,6,4,newtech
PH,,,,7,7,newtech
PH,,,,8,7,newtech
PH,,,,9,5,newtech
PH,,,,0,1,wonderstuff
PH,,,,1,7,wonderstuff
PH,,,,2,6,wonderstuff
PH,,,,3,2,wonderstuff
PH,,,,4,2,wonderstuff
PH,,,,5,3,wonderstuff
PH,,,,6,3,wonderstuff
PH,,,,7,3,wonderstuff
PH,,,,8,7,wonderstuff
